Codice Conto,Descrizione conto,Data operazione,COD,Descrizione operazione,Numero documento,Data documento,Numero Fattura,Importo,Saldo,Contropartita,Costi Diretti,Costi Indiretti,Attività economiche,Attività non economiche,Codice progetto
8.01.009,TRASPORTI PER ACQUISTI ,31/03/2021,199,ACQUISTI REVERSE CH,4655/21,15/03/2021,84,44.0,44.0,PACKSE PACK SERVICES S.R.,,,,,
8.01.009,TRASPORTI PER ACQUISTI ,30/04/2021,199,ACQUISTI REVERSE CH,036-21 ,30/03/2021,105,15.0,59.0,DORATE DORA TECNOLOGIE DI,,,,,
8.01.009,TRASPORTI PER ACQUISTI ,30/04/2021,1110,ACQUISTO IVA N/DETR,39,23/04/2021,127,-146.4,-87.4,DAMBGI DITTA D'AMBRA GIUS,,,,,
8.01.009,TRASPORTI PER ACQUISTI ,30/04/2021,199,ACQUISTI REVERSE CH,258/E ,29/04/2021,131,45.0,-42.40000000000001,NANOVI NANOVISION S.R.L.,,,,,
8.01.009,TRASPORTI PER ACQUISTI ,31/05/2021,199,ACQUISTI REVERSE CH,36007,30/04/2021,143,15.0,-27.40000000000001,VWR VWR INTERNATIONAL,,,,,
8.01.009,TRASPORTI PER ACQUISTI ,31/05/2021,199,ACQUISTI REVERSE CH,13 / PA,17/05/2021,157,15.0,-12.40000000000001,TRTURO T.R. TURONI S.R.L.,,,,,
8.01.009,TRASPORTI PER ACQUISTI ,31/05/2021,199,ACQUISTI REVERSE CH,214,24/05/2021,164,40.0,27.59999999999999,ECOSEA ECOSEARCH S.R.L.,,,,,
8.01.009,TRASPORTI PER ACQUISTI ,31/05/2021,199,ACQUISTI REVERSE CH,1286,26/05/2021,167,160.0,187.6,OPTOTR OPTOTRIM S.R.L.,,,,,
8.01.009,TRASPORTI PER ACQUISTI ,31/07/2021,199,ACQUISTI REVERSE CH,99238,30/06/2021,216,25.0,212.6,SIAD S.I.A.D. S.P.A.,,,,,
8.01.009,TRASPORTI PER ACQUISTI ,31/07/2021,199,ACQUISTI REVERSE CH,78,30/06/2021,224,40.0,252.6,GENTAU GENTAUR S.R.L. UNI,,,,,
8.01.009,TRASPORTI PER ACQUISTI ,31/07/2021,104,ACQUISTO MERCI NO R,3666,27/07/2021,249,10.0,262.6,SILCAM Silcam Italia S.r.,,,,,
