Costi Indiretti;Attività non economiche;Project Amounts;Data documento;Codice Conto;Numero documento;Descrizione operazione;Data operazione;Codice progetto;Importo;Costi Diretti;Attività economiche;Descrizione conto;Contropartita;Saldo;Difference
False;True;{'NEON': 21046.31};2022-04-30;8.04.004; ;RETRIBUZ.THETA APRI;2022-04-30;;22961;True;False;COMPENSI PER CONTRATTI A PROGETTO ; diversi a diversi;;1914.6899999999987
False;True;{'F-MOBILITY': 554.51};2022-06-30;8.04.004; ;RETRIB.THETA GIUGNO;2022-06-30;;1475;True;False;COMPENSI PER CONTRATTI A PROGETTO ; diversi a diversi;;920.49
False;True;{};2022-01-31;8.06.004; ;RETRIBUZ.BETA GENNA;2022-01-31;;2788.15;True;False;CONTRIBUTI PREVIDENZIALI E ASSISTENZIALI ; diversi a diversi;;2788.15
False;True;{'MARINE HAZARD': 103.83, 'WATERGY': 4382.33};2022-02-28;8.06.004; ;RETRIBUZ.THETA GENN;2022-02-28;;4499.94;True;False;CONTRIBUTI PREVIDENZIALI E ASSISTENZIALI ; diversi a diversi;;13.779999999999745
False;True;{'PRIDE': 2554.55};2022-03-31;8.06.004; ;RETRIBUZ.THETA MARZ;2022-03-31;;4499.94;True;False;CONTRIBUTI PREVIDENZIALI E ASSISTENZIALI ; diversi a diversi;;1945.3899999999994
False;True;{'NANOCAN': 743.71};2022-04-30;8.06.004; ;RETRIBUZ.BETA APRIL;2022-04-30;;766.21;True;False;CONTRIBUTI PREVIDENZIALI E ASSISTENZIALI ; diversi a diversi;;22.5
False;True;{'CONTRADER_DMW': 2170.45};2022-04-30;8.06.004; ;RETRIBUZ.THETA APRI;2022-04-30;;3380.8;True;False;CONTRIBUTI PREVIDENZIALI E ASSISTENZIALI ; diversi a diversi;;1210.3500000000004
False;True;{'COVID': 5514.26};2022-07-31;8.06.004; ;RETERIBUZ.THETA ;2022-07-31;;5568.55;True;False;CONTRIBUTI PREVIDENZIALI E ASSISTENZIALI ; diversi a diversi;;54.289999999999964
False;True;{'7SHIELD': 735.82};2022-09-19;8.06.004; ;ADDEB.RC01 GIUGNO ;2022-09-19;;2065;True;False;CONTRIBUTI PREVIDENZIALI E ASSISTENZIALI ;102024 BANCA DELLA CAMPAN;;1329.1799999999998
False;True;{'HitachiR&S': 279.61};2022-09-30;8.06.004; ;RETRIB.THETA AGOSTO;2022-09-30;HitachiR&S;344.45;True;False;CONTRIBUTI PREVIDENZIALI E ASSISTENZIALI ; diversi a diversi;;64.83999999999997
False;True;{'MAIA': 4323.85};2022-10-31;8.06.004; ;RETRIBUZ.LAMBDA OTT;2022-10-31;;4326.51;True;False;CONTRIBUTI PREVIDENZIALI E ASSISTENZIALI ; diversi a diversi;;2.6599999999998545
False;True;{'NEON': 10626.98, 'NANOCAN': 1075.55};2022-12-31;8.06.004; ;RETRIBUZ.LAMBDA DIC;2022-12-31;;11702.53;True;False;CONTRIBUTI PREVIDENZIALI E ASSISTENZIALI ; diversi a diversi;;1.8189894035458565e-12
False;True;{'NANOCAN': 13864.19};2022-03-31;8.04.003; ;RETRIBUZ.THETA MARZ;2022-03-31;;15070;True;False;SALARI E STIPENDI ; diversi a diversi;;1205.8099999999995
False;True;{'NANOCAN': 12369.86};2022-06-30;8.04.003; ;RETRIBUZ.LAMBDA GIU;2022-06-30;;16988;True;False;SALARI E STIPENDI ; diversi a diversi;;4618.139999999999
False;True;{'CS-AWARE-NEXT': 62.49};2022-04-30;8.07.002; ;RETRIBUZ.THETA APRI;2022-04-30;;63.84;True;False;INDENNITA' IMPIEGATI ; diversi a diversi;;1.3500000000000014
False;True;{'CNOS-PERSONALE': 87.28};2022-04-30;8.07.002; ;RERIBUZ.LAMBDA APRI;2022-04-30;;107.2;True;False;INDENNITA' IMPIEGATI ; diversi a diversi;;19.92
False;True;{'INNOVARE': 153.73, 'NANOCAN': 11.25};2022-07-31;8.07.002; ;RETRIBUZ.LAMBDA LUG;2022-07-31;;423.79;True;False;INDENNITA' IMPIEGATI ; diversi a diversi;;258.81000000000006
