Costi Indiretti;Costi Diretti;CostiDirettiValue;isEconomico;Percentuale;Anno;Contributo Competenza;Valore;doc_name;Costi Indiretti Somma;Costi Diretti Somma
{'Oneri diversi': '1592.76', 'Servizi': '10065.04', 'Oneri finanziari': '456.80', 'Ammortamenti': '1044.60', 'God beni terzi': '2945.91', 'Personale': '1523.81', 'Materie Prime': '65.50'};{'Oneri diversi': '717.36', 'Servizi': '4713.82', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '106020.86', 'Materie Prime': '0.00'};['conti/8.04.004/lineeConto/8.04.004line_002', 'conti/8.04.004/lineeConto/8.04.004line_009', 'conti/8.04.004/lineeConto/8.04.004line_017', 'conti/8.04.004/lineeConto/8.04.004line_025', 'conti/8.04.004/lineeConto/8.04.004line_034', 'conti/8.04.004/lineeConto/8.04.004line_042', 'conti/8.04.004/lineeConto/8.04.004line_049', 'conti/8.04.004/lineeConto/8.04.004line_052', 'conti/8.04.004/lineeConto/8.04.004line_057', 'conti/8.04.004/lineeConto/8.04.004line_060', 'conti/8.04.004/lineeConto/8.04.004line_066', 'conti/8.04.004/lineeConto/8.04.004line_068', 'conti/8.04.004/lineeConto/8.04.004line_075', 'conti/8.04.004/lineeConto/8.04.004line_083', 'conti/8.04.004/lineeConto/8.04.004line_085', 'conti/8.04.004/lineeConto/8.04.004line_090', 'conti/8.04.004/lineeConto/8.04.004line_093', 'conti/8.04.004/lineeConto/8.04.004line_094', 'conti/8.06.004/lineeConto/8.06.004line_003', 'conti/8.06.004/lineeConto/8.06.004line_013', 'conti/8.06.004/lineeConto/8.06.004line_024', 'conti/8.06.004/lineeConto/8.06.004line_036', 'conti/8.06.004/lineeConto/8.06.004line_046', 'conti/8.06.004/lineeConto/8.06.004line_056', 'conti/8.06.004/lineeConto/8.06.004line_067', 'conti/8.06.004/lineeConto/8.06.004line_077', 'conti/8.06.004/lineeConto/8.06.004line_086', 'conti/8.06.004/lineeConto/8.06.004line_089', 'conti/8.06.004/lineeConto/8.06.004line_100', 'conti/8.06.004/lineeConto/8.06.004line_112', 'conti/8.06.004/lineeConto/8.06.004line_122', 'conti/8.01.009/lineeConto/8.01.009line_000', 'conti/8.17.000/lineeConto/8.17.000line_040', 'conti/8.17.000/lineeConto/8.17.000line_089', 'conti/8.17.000/lineeConto/8.17.000line_090', 'conti/8.17.000/lineeConto/8.17.000line_091', 'conti/8.17.000/lineeConto/8.17.000line_095', 'conti/8.20.010/lineeConto/8.20.010line_001', 'conti/8.20.010/lineeConto/8.20.010line_003'];False;3.10;2022;47492.27;311250;7SHIELD;17237.620000000003;111452.04
{'Oneri diversi': '403.64', 'Servizi': '2550.70', 'Oneri finanziari': '119.26', 'Ammortamenti': '264.72', 'Personale': '386.17', 'God beni terzi': '746.56', 'Materie Prime': '16.60'};{'Oneri diversi': '375.00', 'Servizi': '2597.43', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '0.00', 'Materie Prime': '0.00'};['conti/8.20.010/lineeConto/8.20.010line_007', 'conti/8.04.010/lineeConto/8.04.010line_010', 'conti/8.17.000/lineeConto/8.17.000line_054'];True;1.72;2022;5000;5000;ADVANCED SYSTEMS;4368.389999999999;2972.43
{'Oneri diversi': '215.79', 'Servizi': '1363.65', 'Oneri finanziari': '61.89', 'Ammortamenti': '141.53', 'God beni terzi': '399.12', 'Personale': '206.45', 'Materie Prime': '8.87'};{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '0.00', 'Materie Prime': '0.00'};[];False;0.42;2022;6500;6500;AIM SOLUTIONS;2335.41;0.0
{'Oneri diversi': '1341.00', 'Servizi': '8474.12', 'Oneri finanziari': '384.59', 'Ammortamenti': '879.49', 'Personale': '1282.95', 'God beni terzi': '2480.26', 'Materie Prime': '55.15'};{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'Personale': '0.00', 'God beni terzi': '0.00', 'Materie Prime': '0.00'};[];False;2.61;2022;40000;100000;ARTUP;14512.970000000001;0.0
{'Oneri diversi': '1007.03', 'Servizi': '6363.71', 'Oneri finanziari': '288.81', 'Ammortamenti': '660.46', 'Personale': '963.44', 'God beni terzi': '1862.57', 'Materie Prime': '41.41'};{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '0.00', 'Materie Prime': '0.00'};[];False;1.96;2022;30000;95000;ATM;10898.619999999999;0.0
{'Oneri diversi': '1006.75', 'Ammortamenti': '660.27', 'Personale': '963.17', 'Servizi': '6361.92', 'Materie Prime': '41.40', 'God beni terzi': '1862.05'};{'Oneri diversi': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '0.00', 'Materie Prime': '0.00', 'Servizi': '0.00'};[];True;4.29;2022;12500;12500;BIOEMA;10895.56;0.0
{'Oneri diversi': '981.34', 'Servizi': '6201.37', 'Oneri finanziari': '281.45', 'Ammortamenti': '643.61', 'Personale': '938.86', 'God beni terzi': '1815.06', 'Materie Prime': '40.36'};{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '0.00', 'Materie Prime': '0.00'};[];False;1.91;2022;29207.87;29207.87;BigImAGING;10620.6;0.0
{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '0.00', 'Materie Prime': '0.00'};{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'God beni terzi': '0.00', 'Personale': '0.00', 'Materie Prime': '0.00'};[];False;0.00;2022;-4312944.10;0;CNOS;0.0;0.0
{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'Personale': '0.00', 'God beni terzi': '0.00', 'Materie Prime': '0.00'};{'Oneri diversi': '0.00', 'Servizi': '0.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'Personale': '29624.52', 'God beni terzi': '0.00', 'Materie Prime': '0.00'};['conti/8.04.004/lineeConto/8.04.004line_006', 'conti/8.04.004/lineeConto/8.04.004line_013', 'conti/8.04.004/lineeConto/8.04.004line_022', 'conti/8.04.004/lineeConto/8.04.004line_029', 'conti/8.04.004/lineeConto/8.04.004line_038', 'conti/8.04.004/lineeConto/8.04.004line_046', 'conti/8.04.004/lineeConto/8.04.004line_053', 'conti/8.04.004/lineeConto/8.04.004line_061', 'conti/8.04.004/lineeConto/8.04.004line_069', 'conti/8.04.004/lineeConto/8.04.004line_078', 'conti/8.04.004/lineeConto/8.04.004line_086', 'conti/8.04.004/lineeConto/8.04.004line_098', 'conti/8.06.004/lineeConto/8.06.004line_008', 'conti/8.06.004/lineeConto/8.06.004line_019', 'conti/8.06.004/lineeConto/8.06.004line_032', 'conti/8.06.004/lineeConto/8.06.004line_042', 'conti/8.06.004/lineeConto/8.06.004line_051', 'conti/8.06.004/lineeConto/8.06.004line_061', 'conti/8.06.004/lineeConto/8.06.004line_073', 'conti/8.06.004/lineeConto/8.06.004line_083', 'conti/8.06.004/lineeConto/8.06.004line_093', 'conti/8.06.004/lineeConto/8.06.004line_105', 'conti/8.06.004/lineeConto/8.06.004line_114', 'conti/8.06.004/lineeConto/8.06.004line_129', 'conti/8.07.002/lineeConto/8.07.002line_001'];False;0.00;2022;0;90000;CNOS-PERSONALE;0.0;29624.52
{'Oneri diversi': '3663.34', 'Servizi': '23149.60', 'Oneri finanziari': '1050.63', 'Ammortamenti': '2402.58', 'God beni terzi': '6775.59', 'Personale': '3504.75', 'Materie Prime': '150.66'};{'Oneri diversi': '0.00', 'Servizi': '6400.00', 'Oneri finanziari': '0.00', 'Ammortamenti': '0.00', 'Personale': '2675.58', 'God beni terzi': '0.00', 'Materie Prime': '0.00'};['conti/8.06.004/lineeConto/8.06.004line_037', 'conti/8.06.004/lineeConto/8.06.004line_110', 'conti/8.04.010/lineeConto/8.04.010line_008', 'conti/8.04.010/lineeConto/8.04.010line_011'];False;7.13;2022;109200;313000;CONTRADER_DMW;39646.520000000004;9075.58
