Codice Conto;Descrizione conto;Data operazione;COD;Descrizione operazione;Numero documento;Data documento;Numero Fattura;Importo;Saldo;Contropartita;Costi Diretti;Costi Indiretti;Attività economiche;Attività non economiche;Codice progetto
8.01.010;SPESE SU ACQUISTI ;31/03/2021;199;ACQUISTI REVERSE CH;4655/21;15/03/2021;84;9;9;PACKSE PACK SERVICES S.R.;;1;;;
8.01.010;SPESE SU ACQUISTI ;30/06/2021;199;ACQUISTI REVERSE CH;A5882 ;25/06/2021;199;29;38;PRODO1 PRODOTTI GIANNI SR;;1;;;
8.01.010;SPESE SU ACQUISTI ;31/10/2021;199;ACQUISTI REVERSE CH;453;01/10/2021;334;5;43;TECECO TECNO-ECO S.R.L.;;1;;;
8.01.031;SPESE DI SPEDIZIONE ;31/03/2021;199;ACQUISTI REVERSE CH;26290;28/02/2021;73;31,5;31,5;SIAD S.I.A.D. S.P.A.;1;;;1;NANOCAN
8.01.031;SPESE DI SPEDIZIONE ;30/04/2021;199;ACQUISTI REVERSE CH;40;23/04/2021;128;120;151,5;DAMBGI DITTA D'AMBRA GIUS;;1;;;CNOS
8.01.031;SPESE DI SPEDIZIONE ;30/04/2021;199;ACQUISTI REVERSE CH;48792;31/03/2021;107;199,4;350,9;SIAD S.I.A.D. S.P.A.;1;;;1;NANOCAN
8.04.023;COMPENSO COMPONENTI COLLEGIO SINDACALE ;30/06/2021;135;CONSULENZE CON R/AC;63;03/06/2021;177;3000;3000;SADCCF STUDIO ASS.DOTT.CO;;1;;;
8.04.023;COMPENSO COMPONENTI COLLEGIO SINDACALE ;30/06/2021;135;CONSULENZE CON R/AC;63;03/06/2021;177;120;3120;SADCCF STUDIO ASS.DOTT.CO;;1;;;
8.04.023;COMPENSO COMPONENTI COLLEGIO SINDACALE ;30/06/2021;150;COMPENSO COLL.SINDA; ;30/06/2021; ;3000;6120; diversi a diversi;;1;;;
8.04.023;COMPENSO COMPONENTI COLLEGIO SINDACALE ;30/11/2021;135;CONSULENZE CON R/AC;140;23/11/2021;414;3000;9120;SADCCF STUDIO ASS.DOTT.CO;;1;;;
8.04.023;COMPENSO COMPONENTI COLLEGIO SINDACALE ;30/11/2021;135;CONSULENZE CON R/AC;140;23/11/2021;414;120;9240;SADCCF STUDIO ASS.DOTT.CO;;1;;;
